braak_score,strat_group,training_donors,training_sections,val_donors,val_sections,test_donors,test_sections,total_donors,total_sections,pct_training_donors,pct_training_sections,pct_val_donors,pct_val_sections,pct_test_donors,pct_test_sections
2,2-3,1,3,0,0,0,0,1,3,100.0,100.0,0.0,0.0,0.0,0.0
3,2-3,1,2,1,3,2,4,4,9,25.0,22.2,25.0,33.3,50.0,44.4
4,4,7,19,2,6,3,5,12,30,58.3,63.3,16.7,20.0,25.0,16.7
5,5-6,5,11,1,5,2,6,8,22,62.5,50.0,12.5,22.7,25.0,27.3
6,5-6,1,3,0,0,0,0,1,3,100.0,100.0,0.0,0.0,0.0,0.0
total,,15,38,4,14,7,15,26,67,57.7,56.7,15.4,20.9,26.9,22.4
